indicator,indicator_code,location,location_code,period,value,value_numeric,value_ci,sex,residence,wealth_quintile
Tobacco Warning: W1b smoked tobacco packaging health warnings,TOBACCO_MPOWER_W1B_TOBACCOSMOKED,Kenya,KEN,2024,,Yes,,Health warnings on other smoked tobacco packaging must be written in the principal language(s) of the country,Total,Total
Educational attainment in treatment,RSUD_790,Kenya,KEN,2014,,No data,,Doctoral or equivalent level,Urban,Total
Tobacco Warning: W1c smokeless tobacco packaging health warnings,TOBACCO_MPOWER_W1C_TOBACCOSMOKELESS,Kenya,KEN,2010,30,30,,Percentage of principal display area mandated to be covered by health warnings - front of smokeless tobacco packaging,Rural,Total
Number of under-five deaths,CM_01,Kenya,KEN,1977,38811,38 811,[36 178-41 545],Female,Total,Total
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",SA_0000001400,Kenya,KEN,2022,0.03,0,,Wine,Total,Total
"Household air pollution attributable death rate (per 100 000 population, age-standardized)",AIR_52,Kenya,KEN,2011,2.223,2,[2-3],Male,Urban,Total
Tobacco MPOWER: National tobacco control programmes (NTCP),TOBACCO_MPOWER_NTCP,Kenya,KEN,2010,,USD,,National tobacco control budget - currency reported,Total,Total
"Zero vegetable or fruit consumption, 6-23 months",NUT_CF_ZVF,Kenya,KEN,2014,14,14.0,[11.4-17.0],Secondary or higher,Total,Total
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",NUTRITION_WA_2,Kenya,KEN,2005,19.7,19.7,[17.9-21.7],Male,Urban,Total
"Number of deaths in children aged <5 years, by cause",MORT_100,Kenya,KEN,2012,1905.909665,1906,,Both sexes,Rural,Total
"Early Initiation of Breastfeeding, Children born in the last 24 months",NUT_BF_EIBF,Kenya,KEN,2014,64.2,64.2,[61.3-66.9],Wealth - Bottom 40%,Total,Total
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",SA_0000001400,Kenya,KEN,2006,0.464585559,0.5,,Spirits,Total,Total
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",NUTRITION_WA_2,Kenya,KEN,2016,14.8,14.8,[12.2-17.7],Male,Urban,Total
"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)",NCD_BMI_25C,Kenya,KEN,2022,42.984137,43.0,[39.7-46.2],Female,Total,Total
"Alcohol, drinkers only per capita (15+) consumption in litres of pure alcohol, three-year average",SA_0000001404,Kenya,KEN,2017,9.507242997,9.5,[4.4 - 15.5],Both sexes,Total,Total
Five-year change in government resources for treatment of substance use disorders,RSUD_260,Kenya,KEN,2014,,Significant increase,,Drugs,Urban,Total
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",SA_0000001400,Kenya,KEN,1973,0.02,0.02,,Wine,Rural,Total
Tobacco Enforce bans: E1 direct advertising,TOBACCO_MPOWER_E1_DIRECTADBANS,Kenya,KEN,2020,,Yes,,Ban on billboard and outdoor advertising,Total,Total
"Household air pollution attributable death rate (per 100 000 population, age-standardized)",AIR_52,Kenya,KEN,2016,38.236,38,[30-45],Female,Total,Total
Exclusive breastfeeding under six months,NUT_BF_EBF,Kenya,KEN,2008,31.9,31.9,[26.6-37.6],Total,Urban,Total
Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years),CHILDMORT5TO14,Kenya,KEN,2000,16.14078234,16.1,[13.4-19.6],Male,Total,Total
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",NUTRITION_ANT_HAZ_NE2,Kenya,KEN,1994,41.1,41.1,[39.4-42.9],Both sexes,Total,Total
Current health expenditure (CHE) per capita in US$,GHED_CHE_pc_US_SHA2011,Kenya,KEN,2022,91.18416595,91.18,,,Urban,Total
"Alcohol, heavy episodic drinking (15+) past 30 days (%), age-standardized",SA_0000001739,Kenya,KEN,2012,6.8374179,6.8,[6.3 - 7.4],Female,Rural,Total
"Alcohol, heavy episodic drinking (15+) past 30 days (%), age-standardized",SA_0000001739,Kenya,KEN,2020,18.7255852,18.7,[17.7 - 19.8],Male,Total,Total
"Number of deaths in children aged <5 years, by cause",MORT_100,Kenya,KEN,2006,1007.64596,1007.6,,Both sexes,Total,Total
Ever breastfed,NUT_BF_EVBF,Kenya,KEN,2003,97.5,97.5,[96.6-98.1],Total,Urban,Total
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",SA_0000001400,Kenya,KEN,2018,2.329757108,2.3,,All types,Total,Total
Yellow fever - number of reported cases,WHS3_50,Kenya,KEN,2016,3,3,,,Total,Total
"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",NCD_BMI_PLUS2C,Kenya,KEN,2006,1.8737784,1.9,[0.5-4.7],Male,Urban,Total
New HIV infections (per 1000 uninfected population),SDGHIV,Kenya,KEN,2007,2.4,2.4,[1.6 - 3.8],Both sexes,Rural,Total
"Zero vegetable or fruit consumption, 6-23 months",NUT_CF_ZVF,Kenya,KEN,2014,21.4,21.4,[19.2-23.9],12 to 23 months,Total,Total
Tobacco Enforce bans: E1 direct advertising,TOBACCO_MPOWER_E1_DIRECTADBANS,Kenya,KEN,2010,,Yes,,Ban on advertising in international magazines and newspapers,Total,Total
"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",NUTRITION_WH_3,Kenya,KEN,2000,6.3,6.3,[3.7-10.7],Male,Urban,Total
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",NUTRITION_ANT_WHZ_NE2,Kenya,KEN,1994,4.8,4.8,[3.9-5.8],Wealth - Bottom 40%,Total,Total
"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",NCD_BMI_PLUS1C,Kenya,KEN,2000,8.6112082,8.6,[6.6-11.0],Female,Total,Total
"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",AIR_42,Kenya,KEN,2010,7.967,8,[3-14],Female,Urban,Total
Tobacco Warning: W1b smoked tobacco packaging health warnings,TOBACCO_MPOWER_W1B_TOBACCOSMOKED,Kenya,KEN,2022,,No,,"Health warnings on other smoked tobacco packaging must not be obscured in any way including by required markings, e.g., tax stamps",Rural,Total
"Number of incident tuberculosis cases,  (HIV-positive cases)",TB_e_inc_tbhiv_num,Kenya,KEN,2003,111000,111 000,[25 000-259 000],,Total,Total
"Tobacco Warning: W2b smoked tobacco packaging health warnings, other characteristics",TOBACCO_MPOWER_W2B_TOBACCOSMOKED,Kenya,KEN,2018,,Yes,,Other smoked tobacco packaging and labelling must display qualitative information on emission yields,Total,Total
Low birth weight number (in thousands),LBW_NUMBER,Kenya,KEN,2005,155.3,155.3,[143.7-167.9],,Urban,Total
NCD country capacity survey response,NCDCCS_COUNTRYRESPONSE,Kenya,KEN,2023,,No,,Tests and procedures in primary health care,Total,Total
"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",PHE_HHAIR_PROP_POP_CATEGORY_FUELS,Kenya,KEN,2017,1.2,1.2,[0.1 - 4.4],Urban,Total,Total
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",NUTRITION_WA_2,Kenya,KEN,1994,12.6,12.6,[10.7-14.9],Female,Urban,Total
Household and ambient air pollution attributable DALYs,AIR_60,Kenya,KEN,2016,1081558.747,1 081 559,[925 934-1 219 385],Both sexes,Rural,Total
Estimated malaria mortality rate (per 100 000 population),MALARIA_EST_MORTALITY,Kenya,KEN,2016,21.77621138,21.78,[21.30-22.29],,Total,Total
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",NUTRITION_WA_2,Kenya,KEN,2000,20.6,20.6,[17.4-24.2],48 to 59 months,Total,Total
Exclusively breastfed for the first two days after birth,NUT_BF_EBF2D,Kenya,KEN,2014,85.2,85.2,[83.0-87.2],Wealth - Top 60%,Urban,Total
"Tobacco MPOWER Protect people: P2 smoke-free places, additional characteristics",TOBACCO_MPOWER_P2_SMOKEFREEPLACEDETAILS,Kenya,KEN,2008,0,0,,Number of places smoke-free,Total,Total
Tobacco Warning: W1a cigarette packaging health warnings,TOBACCO_MPOWER_W1A_CIGARETTES,Kenya,KEN,2022,,Yes,,Health warnings on cigarette packaging must be rotated,Total,Total
"Number of deaths in children aged <5 years, by cause",MORT_100,Kenya,KEN,2007,1101.94503,1101.9,,Both sexes,Urban,Total
"Tobacco Enforce bans: E3 indirect advertising, additional bans",TOBACCO_MPOWER_E3_INDIRECTADBANSPLUS,Kenya,KEN,2016,,No,,"Subnational bans on tobacco advertising, promotion and sponsorship authority exists",Rural,Total
Proportion of population with primary reliance on polluting fuels and technologies for cooking (%),PHE_HHAIR_PROP_POP_POLLUTING_FUELS,Kenya,KEN,2013,74.2,74.2,[54.6 - 88.7],Urban,Total,Total
Measles - number of reported cases,WHS3_62,Kenya,KEN,1991,59937,59 937,,,Total,Total
Exclusively breastfed for the first two days after birth,NUT_BF_EBF2D,Kenya,KEN,2014,83.3,83.3,[81.7-84.8],Both sexes,Urban,Total
"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",NUTRITION_WH_3,Kenya,KEN,2003,0.8,0.8,[0.2-2.4],Female,Total,Total
"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)",NCD_BMI_25C,Kenya,KEN,2009,29.180929,29.2,[27.3-31.1],Female,Total,Total
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",NUTRITION_WA_2,Kenya,KEN,2022,10.9,10.9,[9.7-12.2],Male,Urban,Total
Tobacco Offer help: O1 Support for treatment of tobacco dependence / Availability of smoking cessation support,TOBACCO_MPOWER_O1_TREATMENTSUPPORT,Kenya,KEN,2022,,Partially,,Cost-covered in offices of health professionals,Rural,Total
"Population in areas that warrant treatment with antibiotics, facial cleanliness and environmental improvement for elimination of trachoma as a public health problem",NTD_7,Kenya,KEN,2017,3325855,3325855,,,Total,Total
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",NUTRITION_WA_2,Kenya,KEN,2022,6.8,6.8,[6.0-7.7],Secondary education,Total,Total
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",NUTRITION_WH_2,Kenya,KEN,2005,6.2,6.2,[5.1-7.4],36 to 59 months,Urban,Total
"Tobacco MPOWER overview: Monitor, Protect people, Offer help, Warn of dangers, Enforce bans, Raise taxes",TOBACCO_MPOWER_OVERVIEW,Kenya,KEN,2024,4,4,,Offer help to quit tobacco use,Total,Total
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",SA_0000001400,Kenya,KEN,1996,0.3,0.3,,Other alcoholic beverages,Total,Total
Ever breastfed,NUT_BF_EVBF,Kenya,KEN,2008,97.9,97.9,[96.5-98.8],Female,Urban,Total
"Alcohol, consumers past 12 months (%), age-standardized",SA_0000001413,Kenya,KEN,2016,29.8453651,29.8,[27.7 - 32.0],Both sexes,Rural,Total
Prevention programmes for specific populations for drugs,RSUD_610,Kenya,KEN,2014,,No data,,Pregnant women,Total,Total
Tobacco Enforce bans: E2 indirect advertising,TOBACCO_MPOWER_E2_INDIRECTADBANS,Kenya,KEN,2012,,Yes,,Ban on appearance of tobacco brands in TV and/or films (product placement),Total,Total
"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",NCD_BMI_MINUS2C,Kenya,KEN,2013,15.026666,15.0,[10.3-20.3],Male,Urban,Total
"Tobacco Warning: W2b smoked tobacco packaging health warnings, other characteristics",TOBACCO_MPOWER_W2B_TOBACCOSMOKED,Kenya,KEN,2010,,Yes,,Specific health warnings are mandated for other smoked tobacco packaging,Total,Total
"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%)",NCD_BMI_30C,Kenya,KEN,1991,1.8081512,1.8,[1.4-2.4],Both sexes,Total,Total
Continued breastfeeding 12-23 months,NUT_BF_CBF,Kenya,KEN,2008,67.4,67.4,[62.4-72.1],Wealth - Top 40%,Urban,Total
Prevalence of anaemia in children aged 6-59 months (%),NUTRITION_ANAEMIA_CHILDREN_PREV,Kenya,KEN,2013,16.8,16.8,[11.7-22.5],Moderate,Rural,Total
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",NUTRITION_WH_2,Kenya,KEN,2008,7.4,7.4,[4.5-12.1],Male,Total,Total
Hepatitis B (HepB3) immunization coverage among 1-year-olds (%),WHS4_117,Kenya,KEN,2011,96,96,,,Total,Total
Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),MDG_0000000001,Kenya,KEN,2012,41.25920484,41.3,[38.0-44.9],Both sexes,Urban,Total
"Household air pollution attributable DALYs (per 100 000, age-standardized)",AIR_39,Kenya,KEN,2012,719.284,719,[468-1060],Female,Total,Total
Ambient air pollution attributable DALYs,AIR_7,Kenya,KEN,2017,18685.646,18 686,[6925-32 581],Female,Total,Total
"Tobacco Warning: W2a cigarette packaging health warnings, other characteristics",TOBACCO_MPOWER_W2A_CIGARETTES,Kenya,KEN,2008,,Yes,,"Cigarette packaging/labelling must not use figurative or other signs as substitutes for prohibited misleading terms, descriptors",Urban,Total
Estimate of current tobacco smoking prevalence (%) (age-standardized rate),M_Est_smk_curr_std,Kenya,KEN,2025,14.8,14.8,[10.8-18.8],Male,Rural,Total
"Number of deaths in children aged <5 years, by cause",MORT_100,Kenya,KEN,2010,1135.69616,1135.7,,Both sexes,Total,Total
"Tobacco Warning: W2c smokeless tobacco packaging health warnings, other characteristics",TOBACCO_MPOWER_W2C_TOBACCOSMOKELESS,Kenya,KEN,2008,,Yes,,Ban on deceitful terms on smokeless tobacco packaging,Total,Total
Population with primary reliance on clean fuels and technologies for cooking (in millions),PHE_HHAIR_POP_CLEAN_FUELS,Kenya,KEN,2011,0.617685352,0.62,[0.1 - 1.79],Rural,Urban,Total
Number of under-five deaths,CM_01,Kenya,KEN,1971,40360,40 360,[37 581-43 303],Female,Total,Total
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",NUTRITION_WH_2,Kenya,KEN,1994,6.3,6.3,[4.9-8.0],Female,Total,Total
Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),NCD_PAC,Kenya,KEN,2005,7.9032922,7.9,[4.2-13.3],Male,Urban,Total
Prevalence of HIV among adults aged 15 to 49 (%),MDG_0000000029,Kenya,KEN,2002,7.8,7.8,[7.1 - 8.9],,Rural,Total
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",NUTRITION_WH_2,Kenya,KEN,1994,7.5,7.5,[6.1-9.1],Wealth - Bottom 40%,Total,Total
"Alcohol, abstainers past 12 months (%), age-standardized",SA_0000001411,Kenya,KEN,2002,71.4632749,71.5,[68.8 - 74.1],Both sexes,Total,Total
Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),NCD_PAA,Kenya,KEN,2017,8.7060366,8.7,[4.2-14.9],Male,Urban,Total
"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",NUTRITION_WH_3,Kenya,KEN,1994,2.1,2.1,[1.5-3.0],Wealth - Top 40%,Total,Total
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",SA_0000001400,Kenya,KEN,2002,1.79131182,1.8,,All types,Total,Total
Number of under-five deaths,CM_01,Kenya,KEN,1973,40280,40 280,[37 478-43 222],Female,Urban,Total
"Ambient air pollution attributable DALYs  (per 100 000 population, age-standardized)",AIR_90,Kenya,KEN,2016,214.431,214,[79-375],Male,Rural,Total
Number of people who received treatment with antibiotics for trachoma,NTD_8,Kenya,KEN,2023,889429,889 429,,,Total,Total
Healthy life expectancy (HALE) at age 60 (years),WHOSIS_000007,Kenya,KEN,2021,11.92388857,11.9,[11.5-12.4],Both sexes,Total,Total
Mortality rate among children ages 5 to 9 years (per 1000 children aged 5),WHOSIS_000016,Kenya,KEN,1997,11.137713,11.1,[10.0-12.5],Both sexes,Urban,Total
Tobacco Warning: W1b smoked tobacco packaging health warnings,TOBACCO_MPOWER_W1B_TOBACCOSMOKED,Kenya,KEN,2018,30,30,,Percentage of principal display area mandated to be covered by health warnings - front of other smoked tobacco packaging,Total,Total
"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",PHE_HHAIR_POP_CATEGORY_FUELS,Kenya,KEN,2021,0.038055297,0.04,[0 - 0.3],Rural,Total,Total
Life expectancy at age 60 (years),WHOSIS_000015,Kenya,KEN,2003,18.32963123,18.3,[17.8-18.8],Female,Urban,Total
Number of under-five deaths,CM_01,Kenya,KEN,1982,37429,37 429,[34 836-40 131],Female,Rural,Total
Adolescent mortality rate (per 1 000 age specific cohort),MORTADO,Kenya,KEN,2023,3.82234059,3.8,[1.9-6.6],Female,Total,Total
"Number of deaths in children aged <5 years, by cause",MORT_100,Kenya,KEN,2019,0,0,,Both sexes,Total,Total
"Mean HDL cholesterol, age-standardized",NCD_CHOL_MEANHDL_A,Kenya,KEN,2010,1.2,1.2,[1.0-1.3],Female,Urban,Total
Under-five mortality rate (probability of dying by age 5 per 1000 live births),MDG_0000000007,Kenya,KEN,1970,156.9583443,157.0,[146.0-168.3],Male,Total,Total
"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",NCD_BMI_PLUS2C,Kenya,KEN,2000,1.3645819,1.4,[0.3-3.7],Female,Total,Total
Number of deaths among children ages 5 to 9 years,CM_04,Kenya,KEN,2005,8204,8204,[7189-9349],Both sexes,Urban,Total
"Prevalence of underweight among adults, BMI < 18 (age-standardized estimate) (%)",NCD_BMI_18A,Kenya,KEN,2017,12.503628,12.5,[10.5-14.6],Both sexes,Rural,Total
Healthy life expectancy (HALE) at age 60 (years),WHOSIS_000007,Kenya,KEN,2013,13.60687976,13.6,[13.1-14.3],Female,Total,Total
"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",NCD_BMI_MINUS2C,Kenya,KEN,2005,11.761406,11.8,[8.2-15.7],Both sexes,Total,Total
Joint effects of air pollution attributable deaths,AIR_35,Kenya,KEN,2013,2049.942,2050,[1613-2421],Female,Urban,Total
"Prevalence of diabetes, crude",NCD_DIABETES_PREVALENCE_CRUDE,Kenya,KEN,2013,4.2063221,4.2,[2.4-6.7],Female,Total,Total
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",SA_0000001400,Kenya,KEN,2018,0.733026193,0.7,,Beer,Total,Total
BCG immunization coverage among 1-year-olds (%),WHS4_543,Kenya,KEN,2015,87,87,,,Urban,Total
"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",NUTRITION_WH_3,Kenya,KEN,2014,0.6,0.6,[0.3-1.1],Q4,Rural,Total
"Mean total cholesterol,  crude",NCD_CHOL_MEANTOTALCHOL_C,Kenya,KEN,1999,3.9,3.9,[3.5-4.3],Female,Total,Total
Dental Assistants and Therapists (number),HWF_0012,Kenya,KEN,2023,382,382,,,Total,Total
NCD country capacity survey response,NCDCCS_COUNTRYRESPONSE,Kenya,KEN,2013,,No,,"Policies, strategies and plans",Urban,Total
Number of children aged 6-59 months with anaemia (thousands),NUTRITION_ANAEMIA_CHILDREN_NUM,Kenya,KEN,2012,1470,1470,[1150-1750],Mild,Total,Total
Number of infant deaths,CM_02,Kenya,KEN,1975,51532,51 532,[48 211-55 006],Both sexes,Total,Total
Number of incident tuberculosis cases,TB_e_inc_num,Kenya,KEN,2015,179000,179 000,[86 000-307 000],,Urban,Total
